# time : days since 2000-01-01
# height : 1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0
# lat : -26.25,-26.25,-26.51076889038086,-26.25,-26.619718551635742,-25.578947067260742,-27.046239852905273,-27.046239852905273,-25.578947067260742
# lon : 28.125,28.125,28.125,28.0,27.5,26.25,28.125,28.125,27.5
# tas : K
# dimensions : 
# - model: 9
# - time: 1163
time,0,1,2,3,4,5,6,7,8
3972.0,16.50142,16.89612,17.780563,17.695364,14.22114,16.40347,17.74113,15.506296,17.065905
4002.5,18.735498,16.607103,19.82078,20.006813,18.355318,17.62374,18.204683,17.025873,18.71265
4033.5,17.59527,18.29202,19.42872,19.768583,20.403822,18.516481,16.748201,16.602175,19.475777
4063.0,17.166998,18.880384,17.527431,20.15535,19.075,15.790855,17.395103,17.147434,18.893473
4092.5,15.154022,16.563787,15.548655,16.198782,15.556919,16.389366,16.749659,15.558102,18.077168
4123.0,12.602557,13.161769,14.197309,14.245544,12.973638,13.269179,12.9584465,11.771207,15.168462
4153.5,9.395151,11.179579,9.248211,11.279959,12.503132,8.847712,9.928584,9.935772,12.356095
4184.0,7.3908176,6.650812,8.927102,6.287052,8.827927,8.154873,8.67882,8.761707,7.7617884
4214.5,8.165501,7.4312906,9.981686,7.43656,8.564576,9.226352,8.84032,7.703822,7.7583447
4245.5,9.677011,10.0621605,11.384818,11.756661,11.348583,11.015148,11.451729,9.266278,9.968604
4276.0,14.089024,16.762468,14.3211,14.724929,16.53119,15.436893,14.92698,14.874044,15.169083
4306.5,15.444794,15.593672,17.516499,17.965034,15.766651,18.857246,17.241312,16.247438,15.573973
4337.0,15.6167145,16.599092,17.889603,19.372396,15.620401,18.71716,16.857494,16.808786,17.357958
4367.5,19.462702,18.796282,17.58262,20.282936,18.4975,17.726858,18.039156,19.123468,17.747623
4398.5,18.932611,19.28192,19.4871,20.826597,19.920424,18.043337,18.202974,18.882143,18.02021
4428.0,,,17.161983,20.557266,18.121784,17.55468,,,18.759684
4428.5,18.838903,19.32118,,,,,18.153252,19.3252,
4458.5,15.2561035,17.507177,18.146067,17.245138,16.560581,16.712456,16.330591,15.981808,16.818867
4489.0,12.476855,14.215053,13.001691,17.782257,13.804051,13.486037,12.986797,11.776212,13.524632
4519.5,7.829691,11.189924,9.967083,11.462271,11.734608,12.234339,11.071467,10.449017,11.767625
4550.0,6.843546,7.5998783,7.327859,8.149509,6.255295,7.981472,7.8119373,7.7415047,9.058328
4580.5,6.122471,8.802262,7.2550926,6.5817323,5.439027,7.019931,5.955554,7.276515,8.131453
4611.5,9.164773,11.431301,12.161857,12.110696,9.117535,8.681805,12.258858,10.928632,12.270484
4642.0,13.9222145,14.58629,17.804316,15.731032,14.075533,14.955296,16.730965,14.263449,13.719925
4672.5,16.890625,17.096724,16.616413,17.995155,14.447071,17.905739,16.358072,16.296267,15.254667
4703.0,16.908401,16.822145,19.10765,16.404074,20.368326,18.53799,18.334576,17.136423,18.328783
4733.5,18.89541,16.796373,19.415873,19.001717,18.130922,18.33486,18.729189,17.113672,19.47919
4764.5,18.908655,18.803038,19.618113,18.669035,20.115492,18.759981,19.275759,19.004946,19.59974
4794.0,18.117254,16.855696,19.246273,17.471848,18.246082,18.258781,19.351707,18.287083,18.257517
4823.5,15.868378,15.370153,18.387522,15.911184,15.057804,18.493797,17.288446,17.433834,15.806019
4854.0,13.386493,12.631679,15.184827,12.493408,13.140965,12.836959,13.7926445,12.467801,14.104619
4884.5,10.326883,10.268568,12.280315,11.719137,11.091846,10.358759,12.389552,11.000225,10.860703
4915.0,6.400736,8.127192,7.6560144,10.010075,6.8587494,8.396114,9.170946,8.581287,8.580209
4945.5,7.1575966,6.563493,7.874874,10.223761,7.4877024,10.021609,8.14751,7.6885023,7.7592297
4976.5,11.602548,12.894588,11.847983,12.616982,10.368969,12.36314,10.336494,11.691693,10.447791
5007.0,13.176914,17.187914,15.815668,17.662186,12.864351,17.878483,17.942238,12.6268215,15.64241
5037.5,15.992126,16.135511,15.902882,19.995583,16.76659,17.431435,19.378458,15.884768,14.967588
5068.0,15.71489,18.444643,18.655746,18.515646,15.948313,16.619564,19.621258,16.979319,18.963213
5098.5,18.10119,17.593462,18.332254,17.701393,18.641573,17.775747,17.583834,18.055079,19.167454
5129.5,18.034845,17.595854,18.937296,18.199339,17.212263,17.743013,18.585482,18.405947,19.805061
5159.0,18.148169,18.419691,19.561031,18.197708,17.49184,18.994957,18.821495,17.606998,18.769388
5188.5,16.220581,16.332098,17.2978,14.846823,17.800083,16.582848,17.87005,16.75085,17.476765
5219.0,13.395312,13.451289,14.414105,15.285492,13.178411,14.288955,14.659435,13.341886,14.207158
5249.5,9.672007,12.1990185,10.84605,10.928366,10.274067,11.656763,10.933681,10.828075,9.50258
5280.0,7.0565586,8.265589,7.6904078,6.6925087,6.8979034,5.2162743,7.6039906,8.960499,10.256875
5310.5,9.0654335,7.0633097,7.1436424,9.387213,8.132966,7.0136747,8.722095,8.592769,7.7335033
5341.5,10.560372,12.165524,11.155051,12.187142,11.402325,11.080822,12.121101,13.02168,12.531898
5372.0,14.206852,13.761309,16.07934,14.659835,15.127932,12.858006,14.517739,14.29064,15.371811
5402.5,14.810669,15.554853,16.3102,16.277504,16.100544,16.466927,17.847696,16.066713,16.347593
5433.0,17.631271,16.745607,15.28569,16.883413,16.205912,17.632809,18.111523,16.952463,17.843523
5463.5,18.916254,19.894976,17.565744,18.536873,16.620455,18.602713,19.30765,18.244043,20.147953
5494.5,20.833948,18.224638,18.713236,16.784544,17.637617,19.972292,19.753664,18.049501,19.563911
5524.0,19.852362,18.120619,18.73779,18.35286,17.461018,18.502983,19.40847,17.730717,19.63859
5553.5,17.49347,17.039312,15.3914585,16.560629,15.684483,16.334831,18.050287,16.157589,17.713764
5584.0,14.194964,12.46252,14.158002,14.075836,12.61826,13.312423,14.011486,13.209073,13.094487
5614.5,11.1179905,11.62953,11.4922905,15.215353,10.245808,9.309565,11.531886,10.288769,9.957719
5645.0,8.476938,8.2356205,8.583932,7.8617287,8.588242,5.912014,7.7248096,6.6027107,7.448373
5675.5,8.421299,8.090592,8.152248,8.236975,7.9555674,6.9550505,8.4052305,7.4296217,8.968824
5706.5,11.871743,11.343258,10.208793,14.436868,11.261608,10.280651,13.053352,11.820661,11.216071
5737.0,17.180454,14.740587,14.387018,14.518081,15.410952,14.029758,18.048195,14.471334,16.051102
5767.5,18.83435,16.051771,16.177967,17.287758,14.952625,16.736458,21.465738,19.63666,18.932768
5798.0,16.85756,13.618746,16.675125,18.267965,16.8249,19.99255,21.620464,18.87794,18.682055
5828.5,19.335627,17.260973,16.60792,18.75251,17.634737,18.970907,20.373995,18.935816,20.085972
5859.5,17.048944,17.766508,18.120401,17.675535,18.600172,18.494143,19.872438,18.070192,18.487587
5889.0,,,17.847958,19.464005,18.212696,17.691734,,,18.726542
5889.5,17.246496,17.285414,,,,,19.377953,17.158054,
5919.5,17.57904,16.650335,16.39808,17.700552,17.089787,15.946434,16.81582,16.96185,19.060322
5950.0,14.286944,13.855617,13.577741,13.61438,15.05634,13.380996,14.550274,12.8713045,15.537511
5980.5,11.873819,11.168776,12.594463,13.932302,11.13039,10.216364,11.571162,11.178204,11.769792
6011.0,6.7573643,7.2623234,7.159341,6.9563637,10.125931,8.399227,8.019091,8.028614,8.931039
6041.5,7.985386,5.997178,8.827206,8.125189,7.8122873,7.766879,8.341968,8.248164,9.642347
6072.5,11.408456,9.825832,10.314719,11.09205,10.35075,10.847759,11.195656,12.35539,12.476172
6103.0,15.260227,15.755114,15.431391,14.864425,15.885164,15.613773,14.356057,14.127523,18.596786
6133.5,14.071411,17.062574,19.052662,18.00138,17.728657,19.105293,17.731028,17.178865,17.3049
6164.0,16.588303,16.742159,20.40947,17.101797,15.293314,17.344204,17.660748,18.112558,18.798418
6194.5,17.067469,19.06264,19.996683,22.252754,18.972445,17.300283,20.4592,20.487604,20.487003
6225.5,18.762415,20.8374,19.0767,17.722898,21.160017,17.853579,19.048037,19.324007,20.018532
6255.0,18.91776,18.587416,19.121975,17.519455,18.466724,18.182487,18.058922,20.761265,20.143564
6284.5,17.87503,16.627447,18.675547,16.643362,16.092564,15.841179,17.992426,17.87585,17.542988
6315.0,15.439685,13.804866,14.078809,12.580597,12.102635,12.87065,15.399761,14.564054,15.40479
6345.5,12.27775,12.758833,13.288097,10.859732,9.193317,9.93429,12.014705,12.394207,12.672441
6376.0,8.267221,8.999018,7.8263025,11.115818,8.352493,7.0712547,7.6277027,8.895008,9.836556
6406.5,9.2424965,7.1246805,10.407192,7.1616883,7.379304,11.732425,9.625049,10.127162,8.244398
6437.5,12.380715,11.676998,13.728599,9.985696,11.379711,14.489727,10.844673,13.291059,11.935645
6468.0,14.931156,14.560442,16.128748,13.832351,15.674501,14.177555,14.965554,17.712973,13.561081
6498.5,15.859253,15.360456,18.117847,16.273506,17.545033,13.364449,17.388926,17.951967,15.673979
6529.0,18.111313,16.250338,19.324936,19.197073,18.794352,16.27679,18.17506,21.012766,17.466387
6559.5,19.647455,18.885393,17.30308,19.103096,17.54111,17.73055,18.76999,19.213251,18.285557
6590.5,19.314814,19.499968,18.275278,18.349607,18.958448,19.244936,19.898775,19.94507,19.369514
6620.0,19.400152,20.670698,16.817104,20.159073,17.255573,19.23922,19.685081,19.263645,18.477762
6649.5,17.974792,19.468847,17.073526,16.53237,15.974247,18.63189,16.963373,18.126217,17.927631
6680.0,13.393573,15.059382,13.061963,16.289886,11.168431,13.553145,14.022747,15.567594,13.855596
6710.5,11.458963,12.5592785,12.655956,12.402975,8.918049,10.706598,11.388392,13.398418,12.54152
