# time : days since 2000-01-01
# quantile : 0.95
# tas : 
time,tas
2207.5,20.30059394836426
2237.0,20.685193634033205
2266.5,18.033302307128906
2297.0,14.94436206817627
2327.5,11.874172019958497
2358.0,9.044263267517088
2388.5,8.814518928527832
2419.5,12.404262351989747
2450.0,16.67036247253418
2480.5,18.576808166503906
2511.0,18.207490158081054
2541.5,19.70583229064941
2572.5,20.38392219543457
2602.0,20.333448791503905
2631.5,17.810148239135742
2662.0,14.217258262634278
2692.5,11.438996505737304
2723.0,9.646597099304199
2753.5,8.98720932006836
2784.5,12.83646469116211
2815.0,16.916558456420898
2845.5,18.215533447265624
2876.0,19.28776741027832
2906.5,18.878722381591796
2937.5,19.44491500854492
2967.0,19.382725524902344
2967.5,18.126851940155028
2997.5,17.22111396789551
3028.0,15.440742874145506
3058.5,11.367536544799805
3089.0,8.986386680603028
3119.5,8.800199890136717
3150.5,11.874307823181152
3181.0,15.381504821777344
3211.5,18.82997817993164
3242.0,18.82845001220703
3272.5,19.933565521240233
3303.5,19.89997215270996
3333.0,20.01354522705078
3362.5,18.614759826660155
3393.0,15.143117141723632
3423.5,12.396129226684572
3454.0,9.518228912353516
3484.5,9.461526107788085
3515.5,12.563082885742187
3546.0,16.385497283935546
3576.5,18.902574157714845
3607.0,18.93287048339844
3637.5,20.0211368560791
3668.5,19.71132621765137
3698.0,19.937482833862305
3727.5,19.10601921081543
3758.0,14.7632173538208
3788.5,11.631278991699219
3819.0,9.072863388061522
3849.5,9.600527954101562
3880.5,12.513912391662597
3911.0,16.264105606079102
3941.5,18.55998992919922
3972.0,17.764790344238282
4002.5,19.93239974975586
4033.5,20.149726486206056
4063.0,19.723210144042966
4092.5,17.546163940429686
4123.0,14.799294853210448
4153.5,12.444317245483399
4184.0,8.887431907653808
4214.5,9.67955207824707
4245.5,11.634688377380371
4276.0,16.66995735168457
4306.5,18.50036163330078
4337.0,19.11030158996582
4367.5,19.954842376708985
4398.5,20.46412773132324
4428.0,20.19774971008301
4428.5,19.324596309661864
4458.5,17.890510940551756
4489.0,16.355375289916992
4519.5,12.047653198242188
4550.0,8.69480037689209
4580.5,8.53393840789795
4611.5,12.265833473205566
4642.0,17.374975204467773
4672.5,17.959388732910156
4703.0,19.864056015014647
4733.5,19.453863525390627
4764.5,19.916540145874023
4794.0,19.30953369140625
4823.5,18.451287078857423
4854.0,14.7527437210083
4884.5,12.345857429504395
4915.0,9.674423217773438
4945.5,10.142900085449218
4976.5,12.78354606628418
5007.0,17.91673583984375
5037.5,19.74873275756836
5068.0,19.35803985595703
5098.5,18.95710144042969
5129.5,19.45795516967773
5159.0,19.334601593017577
5188.5,17.84206352233887
5219.0,15.035069274902344
5249.5,11.982116317749023
5280.0,9.738324546813963
5310.5,9.258501052856445
5341.5,12.825766944885252
5372.0,15.796328353881837
5402.5,17.295388412475585
5433.0,18.004322814941407
5463.5,20.04676208496094
5494.5,20.48928565979004
5524.0,19.766852951049806
5553.5,17.915678024291992
5584.0,14.180179405212403
5614.5,13.781023788452147
5645.0,8.586517715454102
5675.5,8.749814224243163
5706.5,13.883461570739746
5737.0,17.7010986328125
5767.5,20.734106826782224
5798.0,20.969298553466796
5828.5,20.25878562927246
5859.5,19.36353187561035
5889.0,19.31651191711426
5889.5,19.06407175064087
5919.5,18.51641387939453
5950.0,15.345042610168456
5980.5,13.39716682434082
6011.0,9.647974014282227
6041.5,9.316290664672852
6072.5,12.42785930633545
6103.0,17.512137603759765
6133.5,19.08424072265625
6164.0,19.76504898071289
6194.5,21.546694183349608
6225.5,21.03097038269043
6255.0,20.5141845703125
6284.5,18.402298355102538
6315.0,15.425726890563965
6345.5,13.0763916015625
6376.0,10.604113388061524
6406.5,11.202331733703613
6437.5,14.185275650024414
6468.0,17.079282760620117
6498.5,18.051495361328122
6529.0,20.33763389587402
6559.5,19.473773574829103
6590.5,19.92655220031738
6620.0,20.466048049926755
6649.5,19.13406410217285
6680.0,16.000969314575194
6710.5,13.10143356323242
6741.0,9.680752372741699
6771.5,10.77507495880127
6802.5,13.531352043151855
6833.0,16.73651657104492
6863.5,18.9167911529541
6894.0,19.919892501831054
6924.5,19.65043067932129
6955.5,20.122099685668942
6985.0,20.465544509887692
7014.5,17.997795486450194
7045.0,15.733291244506836
7075.5,11.662606620788575
7106.0,10.563440704345703
7136.5,9.679710960388185
7167.5,13.346343803405762
7198.0,16.29100456237793
7228.5,19.13486747741699
7259.0,18.925024795532227
7289.5,19.40193290710449
7320.5,20.11915321350098
7350.0,19.460980224609376
7350.5,18.551673030853273
7380.5,18.138320922851562
7411.0,15.037429237365723
7441.5,12.927092361450196
7472.0,11.956053924560546
7502.5,9.608883666992188
7533.5,13.099135780334471
7564.0,17.494620895385744
7594.5,19.169683074951173
7625.0,21.158275604248047
7655.5,20.33929862976074
7686.5,19.99896659851074
7716.0,19.313891220092774
7745.5,19.483719635009766
7776.0,15.367998695373537
7806.5,12.708943367004395
7837.0,9.63362350463867
7867.5,10.402758979797362
7898.5,14.006852340698243
7929.0,17.305472564697265
7959.5,19.61703872680664
7990.0,20.788164138793945
8020.5,20.06090888977051
8051.5,19.971677780151367
8081.0,20.097493743896486
8110.5,18.361809539794923
8141.0,15.399749565124512
8171.5,13.633860778808593
8202.0,9.204433822631836
8232.5,10.311141967773438
8263.5,13.177288436889649
8294.0,17.7558536529541
8324.5,19.35729522705078
8355.0,18.954699325561524
8385.5,20.614534378051758
8416.5,20.75483055114746
8446.0,20.841688537597655
8475.5,18.681186294555662
8506.0,15.709250450134277
